Word,Frequency Rank,Language of Origin,Language Branch,Origin Language,Modern Eqiuvalent,Branch Language,Modern Equilvalent
said,47,Old English,Germanic,English,said,German,sagte
an,48,Old English,Germanic,English,an,German,ein
each,49,Old English,Germanic,English,each,German,jeder
she,50,Old English,Germanic,English,she,German,sie
which,51,Old English,Germanic,English,which,German,welche
do,52,Old English,Germanic,English,do,German,tun
their,53,Old Norse,Germanic,Norse,deres,German,ihr
time,54,Old English,Germanic,English,time,German,zeit
if,55,Old English,Germanic,English,if,German,wenn
will,56,Old English,Germanic,English,will,German,werden
way,57,Old English,Germanic,English,way,German,weg
about,58,Old English,Germanic,English,about,German,über
many,59,Old English,Germanic,English,many,German,viele
then,60,Old English,Germanic,English,then,German,dann
them,61,Old Norse,Germanic,Norse,dem,German,sie
write,62,Old English,Germanic,English,write,German,schreiben
would,63,Old English,Germanic,English,would,German,würde
like,64,Old English,Germanic,English,like,German,wie
so,65,Old English,Germanic,English,so,German,so
these,66,Old English,Germanic,English,these,German,diese
her,67,Old English,Germanic,English,her,German,ihr
long,68,Old English,Germanic,English,long,German,lange
make,69,Old English,Germanic,English,make,German,machen
thing,70,Old English,Germanic,English,thing,German,ding
see,71,Old English,Germanic,English,see,German,sehen
him,72,Old English,Germanic,English,him,German,ihm
two,73,Old English,Germanic,English,two,German,zwei
has,74,Old English,Germanic,English,has,German,hat
look,75,Old English,Germanic,English,look,German,aussehen
more,76,Old English,Germanic,English,more,German,mehr
day,77,Old English,Germanic,English,day,German,tag
could,78,Old English,Germanic,English,could,German,könnte
go,79,Old English,Germanic,English,go,German,gehen
come,80,Old English,Germanic,English,come,German,kommen
did,81,Old English,Germanic,English,did,German,tat
number,82,Anglo-French Old French Latin,Italic,French,nombre,Latin,numerus
sound,83,Old French Latin,Italic,French,son,Latin,sonus
no,84,Old English,Germanic,English,no,German,nein
most,85,Old English,Germanic,English,most,German,meisten
people,86,Anglo-French Old French Latin,Italic,French,peuple,Latin,populus
my,87,Old English,Germanic,English,my,German,meine
over,88,Old English,Germanic,English,over,German,über
know,89,Old English,Germanic,English,know,German,kennen/wissen
water,90,Old English,Germanic,English,water,German,wasser
than,91,Old English,Germanic,English,than,German,als
call,92,Old Norse,Germanic,Norse,anrop,German,nennen
first,93,Old English,Germanic,English,first,German,erste
who,94,Old English,Germanic,English,who,German,wer
may,95,Old English,Germanic,English,may,German,dürfen
down,96,Old English,Germanic,English,down,German,nieder
side,97,Old English,Germanic,English,side,German,seite
been,98,Old English,Germanic,English,been,German,gewesen
now,99,Old English,Germanic,English,now,German,jetzt
find,100,Old English,Germanic,English,find,German,finden
any,101,Old English,Germanic,English,any,German,irgendein
new,102,Old English,Germanic,English,new,German,neu
work,103,Old English,Germanic,English,work,German,arbeit
part,104,Old French Latin,Italic,French,partie,Latin,pars
take,105,Old English,Germanic,English,take,German,nehmen
get,106,Old Norse,Germanic,Norse,få,German,erhalten
place,107,Old French Latin,Italic,French,lieu,Latin,locus
made,108,Old English,Germanic,English,made,German,gemacht
live,109,Old English,Germanic,English,live,German,leben
where,110,Old English,Germanic,English,where,German,woher
after,111,Old English,Germanic,English,after,German,nach dem
back,112,Old English,Germanic,English,back,German,zurück
little,113,Old English,Germanic,English,little,German,klein
only,114,Old English,Germanic,English,only,German,nur
round,115,Anglo-French Old French Latin,Italic,French,rond,Latin,rotundus
man,116,Old English,Germanic,English,man,German,mann
year,117,Old English,Germanic,English,year,German,jahrig
came,118,Old English,Germanic,English,came,German,kam
show,119,Old English,Germanic,English,show,German,zeigen
every,120,Old English,Germanic,English,every,German,jeden
good,121,Old English,Germanic,English,good,German,gut
me,122,Old English,Germanic,English,me,German,mich/mir
give,123,Old English,Germanic,English,give,German,geben
our,124,Old English,Germanic,English,our,German,unsere
under,125,Old English,Germanic,English,under,German,unter
name,126,Old English,Germanic,English,name,German,name
very,127,Anglo-French Old French Latin,Italic,French,très,Latin,ipsum
through,128,Old English,Germanic,English,through,German,durch
just,129,Old French Latin,Italic,French,juste,Latin,iustus
form,130,Old French Latin,Italic,French,forme,Latin,forma
sentence,131,Old French Latin,Italic,French,phrase,Latin,sententia
great,132,Old English,Germanic,English,great,German,groß
think,133,Old English,Germanic,English,think,German,denken
say,134,Old English,Germanic,English,say,German,sagen
help,135,Old English,Germanic,English,help,German,hilfen
low,136,Old Norse,Germanic,Norse,lav,German,niedrig
line,137,Old English,Germanic,English,line,German,linie
differ,138,Old French Latin,Italic,French,différer,Latin,differunt
turn,139,Old English,Germanic,English,turn,German,wenden
cause,140,Old French Latin,Italic,French,cause,Latin,causam
much,141,Old English,Germanic,English,much,German,viel
mean,142,Old English,Germanic,English,mean,German,bedeuten
before,143,Old English,Germanic,English,before,German,vor
move,144,Anglo-French Old French Latin,Italic,French,déplacer,Latin,motus
right,145,Old English,Germanic,English,right,German,recht
boy,146,"Disputed, French or Old Frisian",Uncertain,French,boy,N/A,
old,147,Old English,Germanic,English,old,German,alt
too,148,Old English,Germanic,English,too,German,auch
same,149,Old English,Germanic,English,same,German,gleich
tell,150,Old English,Germanic,English,tell,German,sagen
does,151,Old English,Germanic,English,does,German,tut
set,152,Old English,Germanic,English,set,German,einstellen
three,153,Old English,Germanic,English,three,German,drei
want,154,Old Norse,Germanic,Norse,vil,German,wollen
air,155,Old French Latin,Italic,French,air,Latin,aer
well,156,Old English,Germanic,English,well,German,gut
also,157,Old English,Germanic,English,also,German,ebenfalls
play,158,Old English,Germanic,English,play,German,spielen
small,159,Old English,Germanic,English,small,German,klein
end,160,Old English,Germanic,English,end,German,ende
put,161,Old English,Germanic,English,put,German,stellen
home,162,Old English,Germanic,English,home,German,heim
read,163,Old English,Germanic,English,read,German,lesen
hand,164,Old English,Germanic,English,hand,German,hand
port,165,Old English,Germanic,English,port,German,port
large,166,Old French Latin,Italic,French,grand,Latin,magna
spell,167,Old French Latin,Italic,French,épeler,Latin,exponentia
add,168,Latin,Italic,Latin,adde,Latin,adde
even,169,Old English,Germanic,English,even,German,sogar
land,170,Old English,Germanic,English,land,German,land
here,171,Old English,Germanic,English,here,German,hier
must,172,Old English,Germanic,English,must,German,müssen
big,173,"Obscure, possibly scandinavian",Germanic,Norse,stor,German,groß
high,174,Old English,Germanic,English,high,German,hoch
such,175,Old English,Germanic,English,such,German,solche
follow,176,Old English,Germanic,English,follow,German,folgen
act,177,Latin,Italic,Latin,actum,Latin,actum
why,178,Old English,Germanic,English,why,German,warum
ask,179,Old English,Germanic,English,ask,German,fragen
men,180,Old English,Germanic,English,men,German,männer
change,181,Anglo-French Old French Latin,Italic,French,changer,Latin,mutatio
went,182,Old English,Germanic,English,went,German,ging
light,183,Old English,Germanic,English,light,German,licht
kind,184,Old English,Germanic,English,kind,German,art
off,185,Old English,Germanic,English,off,German,aus
need,186,Old English,Germanic,English,need,German,brauchen
house,187,Old English,Germanic,English,house,German,haus
picture,188,Latin,Italic,Latin,picturae,Latin,picturae
try,189,Anglo-French Gallic,Celtic,French,essayer,Irish,triail
us,190,Old English,Germanic,English,us,German,uns
again,191,Old English,Germanic,English,again,German,nochmal
animal,192,Latin,Italic,Latin,animalis,Latin,animalis
point,193,Old French Latin,Italic,French,point,Latin,punctum
mother,194,Old English,Germanic,English,mother,German,mutter
world,195,Old English,Germanic,English,world,German,welt
near,196,Old English,Germanic,English,near,German,nahe
build,197,Old English,Germanic,English,build,German,bilden
self,198,Old English,Germanic,English,self,German,selbst
earth,199,Old English,Germanic,English,earth,German,erde
father,200,Old English,Germanic,English,father,German,vater
head,201,Old English,Germanic,English,head,German,kopf
stand,202,Old English,Germanic,English,stand,German,stehen
own,203,Old English,Germanic,English,own,German,besitzen
page,204,Middle French,Italic,French,page,Latin,pagina
should,205,Old English,Germanic,English,should,German,sollen
country,206,Old French Latin,Italic,French,pays,Latin,patriam
found,207,Old English,Germanic,English,found,German,gefunden
answer,208,Old English,Germanic,English,answer,German,antwort
school,209,Old English/Latin/Greek,Uncertain,English,school,N/A,
grow,210,Old English,Germanic,English,grow,German,wachsen
study,211,Old French Latin,Italic,French,étudier,Latin,studium
still,212,Old English,Germanic,English,still,German,noch
learn,213,Old English,Germanic,English,learn,German,lernen
plant,214,Old English,Germanic,English,plant,German,pflanze
cover,215,Old French Latin,Italic,French,couvrir,Latin,operimentum
food,216,Old English,Germanic,English,food,German,essen
sun,217,Old English,Germanic,English,sun,German,sonne
four,218,Old English,Germanic,English,four,German,vier
between,219,Old English,Germanic,English,between,German,zwischen
state,220,Old French Latin,Italic,French,état,Latin,expono
keep,221,Old English,Germanic,English,keep,German,behalten
eye,222,Old English,Germanic,English,eye,German,auge
never,223,Old English,Germanic,English,never,German,nimmer
last,224,Old English,Germanic,English,last,German,letzte
let,225,Old English,Germanic,English,let,German,lassen
thought,226,Old English,Germanic,English,thought,German,gedacht
city,227,Old French Latin,Italic,French,ville,Latin,urbs
tree,228,Old English,Germanic,English,tree,German,baum
cross,229,Old English/French/Latin/Old Norse,Uncertain,English,cross,N/A,
farm,230,Old French Latin,Italic,French,ferme,Latin,villam
hard,231,Old English,Germanic,English,hard,German,hart
start,232,Old English,Germanic,English,start,German,start
might,233,Old English,Germanic,English,might,German,könnte
story,234,Old French Latin,Italic,French,récit,Latin,fabula
saw,235,Old English,Germanic,English,saw,German,sah
far,236,Old English,Germanic,English,far,German,weit
sea,237,Old English,Germanic,English,sea,German,see
draw,238,Old English,Germanic,English,draw,German,zeichen
left,239,Old English,Germanic,English,left,German,links
late,240,Old English,Germanic,English,late,German,spät
run,241,Old English,Germanic,English,run,German,laufen
don't,242,Old English,Germanic,English,don't,German,nicht tun
while,243,Old English,Germanic,English,while,German,während
press,244,Old French Latin,Italic,French,presse,Latin,tribulo
close,245,Old French Latin,Italic,French,fermer,Latin,prope
night,246,Old English,Germanic,English,night,German,nacht
real,247,Old French Latin,Italic,French,réal,Latin,verum
life,248,Old English,Germanic,English,life,German,leben
few,249,Old English,Germanic,English,few,German,wenige
north,250,Old English,Germanic,English,north,German,nord
open,251,Old English,Germanic,English,open,German,öffnen
seem,252,Old Norse,Germanic,Norse,synes,German,scheinen
together,253,Old English,Germanic,English,together,German,zusammen
next,254,Old English,Germanic,English,next,German,nächste
white,255,Old English,Germanic,English,white,German,weiß
children,256,Old English,Germanic,English,children,German,kindern
begin,257,Old English,Germanic,English,begin,German,beginnen
got,258,Old Norse,Germanic,Norse,fikk,German,habe
walk,259,Old English,Germanic,English,walk,German,gehen
example,260,Old French Latin,Italic,French,exemple,Latin,exemplum
ease,261,Old French Latin,Italic,French,facilité,Latin,relevabor
paper,262,Anglo-French Old French Latin,Italic,French,papier,Latin,papyrus
group,263,French,Italic,French,groupe,Latin,coetus
always,264,Old English,Germanic,English,always,German,immer
music,265,Old French Latin,Italic,French,musique,Latin,musicorum
those,266,Old English,Germanic,English,those,German,jene
both,267,Old English,Germanic,English,both,German,beide
mark,268,Old English,Germanic,English,mark,German,markieren
often,269,Old English,Germanic,English,often,German,häufig
letter,270,Old French Latin,Italic,French,lettre,Latin,litterae
until,271,Old Norse,Germanic,Norse,før,German,bis
mile,272,Old English/Latin,Uncertain,English,mile,N/A,
river,273,Anglo-French Old French Latin,Italic,French,rivière,Latin,flumen
car,274,Anglo-French Old French Latin,Italic,French,voiture,Latin,currus
feet,275,Old English,Germanic,English,feet,German,füße
care,276,Old English,Germanic,English,care,German,kümmern
second,277,Old French Latin,Italic,French,second,Latin,secundus
book,278,Old English,Germanic,English,book,German,buch
carry,279,Anglo-French Old French Latin,Italic,French,porter,Latin,porto
took,280,Old English,Germanic,English,took,German,daurte
science,281,Old French Latin,Italic,French,science,Latin,scientia
eat,282,Old English,Germanic,English,eat,German,essen
room,283,Old English,Germanic,English,room,German,raum
friend,284,Old English,Germanic,English,friend,German,freund
began,285,Old English,Germanic,English,began,German,begann
idea,286,Latin Greek,Hellenic,Latin,idea,Greek,idea
fish,287,Old English,Germanic,English,fish,German,fisch
mountain,288,Old French Latin,Italic,French,montagne,Latin,mons
stop,289,Old English,Germanic,English,stop,German,halt
once,290,Old English,Germanic,English,once,German,einmal
base,291,Old French Latin Greek,Hellenic,French,base,Greek,vasi
hear,292,Old English,Germanic,English,hear,German,hören
horse,293,Old English,Germanic,English,horse,German,pferd
cut,294,Old English,Germanic,English,cut,German,schnitt
sure,295,Old French Latin,Italic,French,sûr,Latin,certus
watch,296,Old English,Germanic,English,watch,German,sehsn
color,297,Anglo-French Old French Latin,Italic,French,coleur,Latin,color
face,298,Old French Latin,Italic,French,face,Latin,faciem
wood,299,Old English,Germanic,English,wood,German,holz
main,300,Old English,Germanic,English,main,German,main
enough,301,Old English,Germanic,English,enough,German,genug
plain,302,Old French Latin,Italic,French,plaine,Latin,patet
girl,303,Old English,Germanic,English,girl,German,mädchen
usual,304,Old French Latin,Italic,French,usuel,Latin,solito
young,305,Old English,Germanic,English,young,German,jung
ready,306,Old English,Germanic,English,ready,German,bereit
above,307,Old English,Germanic,English,above,German,über
ever,308,Old English,Germanic,English,ever,German,jemals
red,309,Old English,Germanic,English,red,German,rot
list,310,Old French,Italic,French,liste,Latin,album
though,311,Old English,Germanic,English,though,German,obwohl
feel,312,Old English,Germanic,English,feel,German,fühlen
talk,313,Middle English,Germanic,English,talk,German,reden
bird,314,Old English,Germanic,English,bird,German,vogel
soon,315,Old English,Germanic,English,soon,German,bald
body,316,Old English,Germanic,English,body,German,körper
dog,317,Old English,Germanic,English,dog,German,hund
family,318,Latin,Italic,Latin,familia,Latin,familia
direct,319,Old French Latin,Italic,French,direct,Latin,directus
pose,320,Old French Latin,Italic,French,poser,Latin,simulatio
leave,321,Old English,Germanic,English,leave,German,lassen
song,322,Old English,Germanic,English,song,German,lied
measure,323,Old French Latin,Italic,French,mesure,Latin,mensura
door,324,Old English,Germanic,English,door,German,tür
product,325,Latin,Italic,Latin,productum,Latin,productum
black,326,Old English,Germanic,English,black,German,schwarz
short,327,Old English,Germanic,English,short,German,kurz
numeral,328,Middle French Latin,Italic,French,numéral,Latin,numeral
class,329,French Latin,Italic,French,classe,Latin,classis
wind,330,Old English,Germanic,English,wind,German,wind
question,331,Anglo-French Old French Latin,Italic,French,question,Latin,quaestio
happen,332,Old English,Germanic,English,happen,German,geschehen
complete,333,Old French Latin,Italic,French,complète,Latin,integrum
ship,334,Old English,Germanic,English,ship,German,schiff
area,335,Latin,Italic,Latin,area,Latin,area
half,336,Old English,Germanic,English,half,German,hälfte
rock,337,Old English,Germanic,English,rock,German,rock
order,338,Old French Latin,Italic,French,ordre,Latin,ordo
fire,339,Old English,Germanic,English,fire,German,feuer
south,340,Old English,Germanic,English,south,German,süd
problem,341,Old French Latin Greek,Hellenic,French,problème,Greek,provlima
piece,342,Old French Gallic,Celtic,French,pièce,Irish,piosa
told,343,Old English,Germanic,English,told,German,erzählte
knew,344,Old English,Germanic,English,knew,German,wissen/kennen
pass,345,Old French Latin,Italic,French,passer,Latin,transiet
since,346,Old English,Germanic,English,since,German,seit
top,347,Old English,Germanic,English,top,German,oben
whole,348,Old English,Germanic,English,whole,German,ganze
king,349,Old English,Germanic,English,king,German,könig
space,350,Old French Latin,Italic,French,espace,Latin,spatium
heard,351,Old English,Germanic,English,heard,German,gehört
best,352,Old English,Germanic,English,best,German,beste
hour,353,Old French Latin Greek,Hellenic,French,heure,Greek,ora
better,354,Old English,Germanic,English,better,German,besser
true,355,Old English,Germanic,English,true,German,wahr
during,356,Old French Latin,Italic,French,pendant,Latin,in
hundred,357,Old English,Germanic,English,hundred,German,hundert
five,358,Old English,Germanic,English,five,German,fünf
remember,359,Old French Latin,Italic,French,rappeler,Latin,memeto
step,360,Old English,Germanic,English,step,German,stüfe
early,361,Old English,Germanic,English,early,German,früh
hold,362,Old English,Germanic,English,hold,German,halten
west,363,Old English,Germanic,English,west,German,west
ground,364,Old English,Germanic,English,ground,German,grund
interest,365,Old French Latin,Italic,French,intéresser,Latin,rem
reach,366,Old English,Germanic,English,reach,German,erreichen
fast,367,Old English,Germanic,English,fast,German,schnell
verb,368,Old French Latin,Italic,French,verbe,Latin,verbum
sing,369,Old English,Germanic,English,sing,German,singen
listen,370,Old English,Germanic,English,listen,German,hören
six,371,Old English,Germanic,English,six,German,sechs
table,372,Old French/Old English,Uncertain,French,table,N/A,
travel,373,Old French Latin,Italic,French,voyager,Latin,itinerantur
less,374,Old English,Germanic,English,less,German,weniger
morning,375,Old English,Germanic,English,morning,German,morgen
ten,376,Old English,Germanic,English,ten,German,zehn
simple,377,Old French Latin,Italic,French,simple,Latin,simplex
several,378,Anglo-French Old French Latin,Italic,French,nombreuses,Latin,aliquot
vowel,379,Old French Latin,Italic,French,voyelle,Latin,vocali
toward,380,Old English,Germanic,English,toward,German,zu
war,381,Old English,Germanic,English,war,German,krieg
lay,382,Old English,Germanic,English,lay,German,legen
against,383,Old English,Germanic,English,against,German,gegen
pattern,384,Old French Latin,Italic,French,modèle,Latin,ratio
slow,385,Old English,Germanic,English,slow,German,langsam
center,386,Old French Latin Greek,Hellenic,French,centre,Greek,kentro
love,387,Old English,Germanic,English,love,German,liebe
person,388,Old French Latin,Italic,French,personne,Latin,hominem
money,389,Old French Latin,Italic,French,argent,Latin,pecunia
serve,390,Old French Latin,Italic,French,servir,Latin,servio
appear,391,Old French Latin,Italic,French,apparaître,Latin,videtur
road,392,Old English,Germanic,English,road,German,straße
map,393,Middle English/ Middle French Latin,Italic,English,map,Latin,map
rain,394,Old English,Germanic,English,rain,German,regen
rule,395,Old French Latin,Italic,French,règle,Latin,regula
govern,396,Old French Latin,Italic,French,gouverne,Latin,regunt
pull,397,Old English,Germanic,English,pull,German,ziehen
cold,398,Old English,Germanic,English,cold,German,kalt
notice,399,Old French Latin,Italic,French,notice,Latin,notitiam
voice,400,Old French Latin,Italic,French,voix,Latin,vox
unit,401,Anglo-French Old French Latin,Italic,French,unité,Latin,as
power,402,Anglo-French Old French Latin,Italic,French,puissance,Latin,potentia
town,403,Old English,Germanic,English,town,German,dorf
fine,404,Old French Latin,Italic,French,fin,Latin,denique
certain,405,Old French Latin,Italic,French,certain,Latin,certus
fly,406,Old English,Germanic,English,fly,German,fliegen
fall,407,Old English,Germanic,English,fall,German,fallen
lead,408,Old English,Germanic,English,lead,German,führen
cry,409,Old French Latin,Italic,French,cri,Latin,clamoris
dark,410,Old English,Germanic,English,dark,German,dunkel
machine,411,Middle French Latin Greek,Hellenic,French,machine,Greek,michani
note,412,Old French Latin,Italic,French,noter,Latin,nota
wait,413,Old French Frankish,Germanic,French,attendre,German,warten
plan,414,French Latin,Italic,French,plan,Latin,consilium
figure,415,Old French Latin,Italic,French,figure,Latin,figura
star,416,Old English,Germanic,English,star,German,stern
box,417,Old English,Germanic,English,box,German,box
noun,418,Anglo-French Old French Latin,Italic,French,nom,Latin,nomen
field,419,Old English,Germanic,English,field,German,feld
rest,420,Old English,Germanic,English,rest,German,rest
correct,421,French Latin,Italic,French,correct,Latin,verum
able,422,Old French Latin,Italic,French,capable,Latin,potes
pound,423,Old English,Germanic,English,pound,German,pfund
done,424,Old English,Germanic,English,done,German,erledigt
beauty,425,Anglo-French Old French Latin,Italic,French,beauté,Latin,pulchritudo
drive,426,Old English,Germanic,English,drive,German,fahren
stood,427,Old English,Germanic,English,stood,German,stand
contain,428,Old French Latin,Italic,French,contenir,Latin,quae
front,429,Old French Latin,Italic,French,devant,Latin,frons
teach,430,Old English,Germanic,English,teach,German,lehren
week,431,Old English,Germanic,English,week,German,woche
final,432,Old French Latin,Italic,French,final,Latin,finalem
gave,433,Old English,Germanic,English,gave,German,gab
green,434,Old English,Germanic,English,green,German,grün
oh,435,Old French Latin,Italic,French,oh,Latin,o
quick,436,Old English,Germanic,English,quick,German,schnell
develop,437,French,Italic,French,développer,Latin,excolo
ocean,438,Old French Latin Greek,Hellenic,French,océan,Greek,okeanos
warm,439,Old English,Germanic,English,warm,German,warm
free,440,Old English,Germanic,English,free,German,frei
minute,441,Old French Latin,Italic,French,minute,Latin,minute
strong,442,Old English,Germanic,English,strong,German,stark
special,443,Old French Latin,Italic,French,spécial,Latin,specialis
mind,444,Old English,Germanic,English,mind,German,verstand
behind,445,Old English,Germanic,English,behind,German,hinter
clear,446,Old French Latin,Italic,French,clair,Latin,liquet
tail,447,Old English,Germanic,English,tail,German,schwanz
produce,448,Latin,Italic,Latin,producendum,Latin,producendum
fact,449,Latin,Italic,Latin,factum,Latin,factum
street,450,Old English,Germanic,English,street,German,straße
inch,451,Old English,Germanic,English,inch,German,zoll
multiply,452,Old French Latin,Italic,French,multiplier,Latin,multiplicamini
nothing,453,Old English,Germanic,English,nothing,German,nichts
course,454,Old French Latin,Italic,French,cours,Latin,cursus
stay,455,Old French Latin,Italic,French,rester,Latin,manere
wheel,456,Old English,Germanic,English,wheel,German,rad
full,457,Old English,Germanic,English,full,German,voll
force,458,Old French Latin,Italic,French,forcer,Latin,impetu
blue,459,Old French Frankish,Germanic,French,bleu,German,blau
object,460,Old French Latin,Italic,French,objet,Latin,objectum
decide,461,Old French Latin,Italic,French,décider,Latin,decernere
surface,462,French,Italic,French,surface,Latin,superficiem
deep,463,Old English,Germanic,English,deep,German,tief
moon,464,Old English,Germanic,English,moon,German,mond
island,465,Old English,Germanic,English,island,German,insel
foot,466,Old English,Germanic,English,foot,German,fuß
system,467,Latin Greek,Hellenic,Latin,systima,Greek,systima
busy,468,Old English,Germanic,English,busy,German,beschäftigt
test,469,Old French Latin,Italic,French,tester,Latin,periclictor
record,470,Old French Latin,Italic,French,record,Latin,mentio
boat,471,Old English,Germanic,English,boat,German,boot
common,472,Old French Latin,Italic,French,commun,Latin,communia
gold,473,Old English,Germanic,English,gold,German,gold
possible,474,Old French Latin,Italic,French,possible,Latin,possibilis
plane,475,Latin,Italic,Latin,planum,Latin,planum
stead,476,Old English,Germanic,English,stead,German,statt
dry,477,Old English,Germanic,English,dry,German,trocken
wonder,478,Old English,Germanic,English,wonder,German,wunder
laugh,479,Old English,Germanic,English,laugh,German,lachen
thousand,480,Old English,Germanic,English,thousand,German,tausend
ago,481,Old English,Germanic,English,ago,German,vor
ran,482,Old English,Germanic,English,ran,German,lief
check,483,Old French Latin Arabic Persian,Indo-Iranian,French,chèque,Hindi,chek
game,484,Old English,Germanic,English,game,German,spiel
shape,485,Old English,Germanic,English,shape,German,gestalten
equate,486,Latin,Italic,Latin,aequalis,Latin,aequalis
hot,487,Old English,Germanic,English,hot,German,heiß
miss,488,Old English,Germanic,English,miss,German,vermissen
brought,489,Old English,Germanic,English,brought,German,gebracht
heat,490,Old English,Germanic,English,heat,German,hitze
snow,491,Old English,Germanic,English,snow,German,schnee
tire,492,Old English,Germanic,English,tire,German,ermüden
bring,493,Old English,Germanic,English,bring,German,bringen
yes,494,Old English,Germanic,English,yes,German,ja
distant,495,Old French Latin,Italic,French,loin,Latin,remotus
fill,496,Old English,Germanic,English,fill,German,füllen
east,497,Old English,Germanic,English,east,German,ost
paint,498,Old French Latin,Italic,French,peindre,Latin,fuco
language,499,Old French Latin,Italic,French,langue,Latin,lingua
among,500,Old English,Germanic,English,among,German,unter
grand,501,Anglo-French Old French Latin,Italic,French,grandiose,Latin,grandis
ball,502,Old English,Germanic,English,ball,German,ball
yet,503,Old English,Germanic,English,yet,German,noch
wave,504,Old English,Germanic,English,wave,German,winken
drop,505,Old English,Germanic,English,drop,German,fallen
heart,506,Old English,Germanic,English,heart,German,herz
am,507,Old English,Germanic,English,am,German,bin
present,508,Old French Latin,Italic,French,présenter,Latin,praesanti
heavy,509,Old English,Germanic,English,heavy,German,schwer
dance,510,Old French Frankish,Germanic,French,danser,German,tanzen
engine,511,Old French Latin,Italic,French,moteur,Latin,machina
position,512,Old French Latin,Italic,French,position,Latin,positus
arm,513,Old English,Germanic,English,arm,German,arm
wide,514,Old English,Germanic,English,wide,German,weit
sail,515,Old English,Germanic,English,sail,German,segeln
material,516,Old French Latin,Italic,French,matérial,Latin,materiales
size,517,Old French Latin,Italic,French,taille,Latin,magnitudine
vary,518,Anglo-French Old French Latin,Italic,French,varier,Latin,variari
settle,519,Old English,Germanic,English,settle,German,begleichen
speak,520,Old English,Germanic,English,speak,German,sprechen
weight,521,Old English,Germanic,English,weight,German,gewicht
general,522,Old French Latin,Italic,French,général,Latin,generalis
ice,523,Old English,Germanic,English,ice,German,eis
matter,524,Anglo-French Old French Latin,Italic,French,matière,Latin,materia
circle,525,Old French Latin,Italic,French,cercle,Latin,circulus
pair,526,Old French Latin,Italic,French,paire,Latin,par
include,527,Latin,Italic,Latin,includere,Latin,includere
divide,528,Latin,Italic,Latin,divido,Latin,divido
syllable,529,Anglo-French Old French Latin Greek,Hellenic,French,syllabe,Greek,syllavi
felt,530,Old English,Germanic,English,felt,German,fühtle
perhaps,531,Old English,Germanic,English,perhaps,German,vielleicht
pick,532,Old English,Germanic,English,pick,German,auswählen
sudden,533,Anglo-French Old French Latin,Italic,French,soudain,Latin,subita
count,534,Old French Latin,Italic,French,compter,Latin,numero
square,535,Old French Latin,Italic,French,carré,Latin,quadratum
reason,536,Anglo-French Old French Latin,Italic,French,raison,Latin,ratio
length,537,Old English,Germanic,English,length,German,länge
represent,538,Old French Latin,Italic,French,représenter,Latin,assimulo
art,539,Old French Latin,Italic,French,art,Latin,artem
subject,540,Old French Latin,Italic,French,subjet,Latin,subjectum
region,541,Anglo-French Old French Latin,Italic,French,région,Latin,regionem
energy,542,Middle French Latin Greek,Hellenic,French,énergie,Greek,energeia
hunt,543,Old English,Germanic,English,hunt,German,jagen
probable,544,Old French Latin,Italic,French,probable,Latin,probabile
bed,545,Old English,Germanic,English,bed,German,bett
